tienda,W-1,J-2,V-3,S-4,D-5,L-6,M-7,W-8,J-9,V-10,S-11,D-12,L-13,M-14,W-15,J-16,V-17,S-18,D-19,L-20,M-21,W-22,J-23,V-24,S-25,D-26,L-27,M-28,W-29,J-30,V-31
vea miraflores,5,5,8,11,8,6,6,6,6,7,11,5,5,5,5,5,6,8,7,5,4,5,5,6,7,7,5,5,5,5,6
vea valle hermoso,4,4,6,8,6,4,5,5,5,5,8,4,4,4,4,4,5,6,5,4,3,4,4,4,6,5,4,4,3,3,5
vea la molina,3,3,5,6,5,3,4,4,4,4,7,3,3,3,3,3,4,5,4,3,3,3,3,3,4,4,3,3,3,3,4
vea dasso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vea caminos del inca,4,4,6,8,6,4,4,4,4,5,8,4,4,4,4,4,5,6,5,4,3,4,4,4,5,5,4,4,3,3,4
vea cortijo,4,3,5,8,5,4,4,4,4,5,9,3,3,3,4,4,4,5,5,3,3,3,4,4,5,5,3,3,3,4,4
vea sucre,3,3,4,6,4,3,3,3,3,4,6,3,3,3,3,3,3,4,4,3,2,3,3,3,4,4,3,3,3,3,3
vea primavera,1,1,2,3,2,2,2,2,2,2,4,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2
oechsle primavera,3,2,4,5,4,3,3,3,3,3,6,2,2,2,2,3,3,4,3,2,2,2,2,3,4,3,2,2,2,3,3
oechsle san borja,3,3,4,6,4,3,3,3,3,4,6,3,3,3,3,3,3,4,4,3,2,3,3,3,4,4,3,3,3,3,3
vea san borja,5,4,7,10,7,5,5,6,6,6,10,5,5,5,5,5,6,7,7,4,4,5,5,5,7,6,4,5,5,4,5
vea jockey,3,3,4,6,4,3,3,3,3,4,6,3,3,3,3,3,3,4,4,3,2,3,3,3,4,4,3,3,3,3,3
vea higuereta,4,4,6,9,6,5,5,5,5,6,9,4,4,4,4,4,5,6,6,4,4,4,4,5,6,6,4,4,4,4,5
